idf_file,idf_location,matched_city,epw_file
ERS-EX-10000-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10030-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10057-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10080-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10118-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10130-in.idf,Lethbridge CDA_AB,LETHBRIDGE,CAN_AB_Lethbridge.CDA.712430_CWEC2020.zip
ERS-EX-10145-in.idf,Lethbridge CDA_AB,LETHBRIDGE,CAN_AB_Lethbridge.CDA.712430_CWEC2020.zip
ERS-EX-10146-in.idf,Lethbridge CDA_AB,LETHBRIDGE,CAN_AB_Lethbridge.CDA.712430_CWEC2020.zip
ERS-EX-10151-in.idf,Lethbridge CDA_AB,LETHBRIDGE,CAN_AB_Lethbridge.CDA.712430_CWEC2020.zip
ERS-EX-10163-in.idf,Lethbridge CDA_AB,LETHBRIDGE,CAN_AB_Lethbridge.CDA.712430_CWEC2020.zip
ERS-EX-10203-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10222-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10226-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10277-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10296-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10318-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10323-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-10368-in.idf,Montreal Intl AP_QC,MONTREAL INTL,CAN_QC_Montreal.Intl.AP.716270_CWEC2020.zip
ERS-EX-10375-in.idf,Montreal Intl AP_QC,MONTREAL INTL,CAN_QC_Montreal.Intl.AP.716270_CWEC2020.zip
ERS-EX-10383-in.idf,Ottawa Intl AP_ON,OTTAWA INTL,CAN_ON_Ottawa.Intl.AP.716280_CWEC2020.zip
ERS-EX-10389-in.idf,Montreal Intl AP_QC,MONTREAL INTL,CAN_QC_Montreal.Intl.AP.716270_CWEC2020.zip
ERS-EX-1050-in.idf,Timmins AP_ON,TIMMINS,CAN_ON_Timmins.AP.717390_CWEC2020.zip
ERS-EX-10505-in.idf,Point Petre AUT_ON,POINT PETRE,CAN_ON_Point.Petre.AUT.714300_CWEC2020.zip
ERS-EX-1056-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-10588-in.idf,Thunder Bay AP_ON,THUNDER BAY,CAN_ON_Thunder.Bay.AP.716670_CWEC2020.zip
ERS-EX-10612-in.idf,Muskoka_ON,MUSKOKA,CAN_ON_Muskoka.715320_CWEC2020.zip
ERS-EX-10622-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10640-in.idf,Muskoka_ON,MUSKOKA,CAN_ON_Muskoka.715320_CWEC2020.zip
ERS-EX-10642-in.idf,Muskoka_ON,MUSKOKA,CAN_ON_Muskoka.715320_CWEC2020.zip
ERS-EX-10656-in.idf,Wiarton AP_ON,WIARTON,CAN_ON_Wiarton.AP.716330_CWEC2020.zip
ERS-EX-10659-in.idf,North Bay AP_ON,NORTH BAY,CAN_ON_North.Bay.AP.717310_CWEC2020.zip
ERS-EX-10671-in.idf,Muskoka_ON,MUSKOKA,CAN_ON_Muskoka.715320_CWEC2020.zip
ERS-EX-1076-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-10760-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10770-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10775-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10781-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10785-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10788-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10797-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10799-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10800-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10815-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10819-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-10843-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-10844-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-10859-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-10874-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-10894-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-10897-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-10906-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-1091-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-10924-in.idf,Wiarton AP_ON,WIARTON,CAN_ON_Wiarton.AP.716330_CWEC2020.zip
ERS-EX-10933-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-10957-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-10959-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-1096-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-10991-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-1102-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11032-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11035-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11050-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11125-in.idf,Windsor AP_ON,WINDSOR,CAN_ON_Windsor.AP.715380_CWEC2020.zip
ERS-EX-11153-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11214-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-1125-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11270-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11308-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11362-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11371-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11395-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11426-in.idf,London AP_ON,LONDON,CAN_ON_London.AP.716230_CWEC2020.zip
ERS-EX-11494-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11517-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11576-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11620-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11635-in.idf,Yarmouth AP_NS,YARMOUTH,CAN_NS_Yarmouth.AP.716030_CWEC2020.zip
ERS-EX-11653-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11707-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11757-in.idf,Greenwood AP_NS,GREENWOOD,CAN_NS_Greenwood.AP.713970_CWEC2020.zip
ERS-EX-11766-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11770-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-11774-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-1182-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11829-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11835-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11854-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11868-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11873-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11877-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11880-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11886-in.idf,Sudbury AP_ON,SUDBURY,CAN_ON_Sudbury.AP.717300_CWEC2020.zip
ERS-EX-11908-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11946-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11948-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11965-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-1197-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-11972-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12023-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12026-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12062-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12081-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12093-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12117-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12120-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12143-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12175-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12199-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12202-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12241-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-1225-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12295-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12315-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12322-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12459-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12467-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12468-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12487-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12488-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-1249-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12495-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12498-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12499-in.idf,Abbotsford AP_BC,ABBOTSFORD,CAN_BC_Abbotsford.AP.711080_CWEC2020.zip
ERS-EX-12500-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12504-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12506-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12539-in.idf,Abbotsford AP_BC,ABBOTSFORD,CAN_BC_Abbotsford.AP.711080_CWEC2020.zip
ERS-EX-12542-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12548-in.idf,Abbotsford AP_BC,ABBOTSFORD,CAN_BC_Abbotsford.AP.711080_CWEC2020.zip
ERS-EX-12558-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12589-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12606-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12608-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12611-in.idf,Abbotsford AP_BC,ABBOTSFORD,CAN_BC_Abbotsford.AP.711080_CWEC2020.zip
ERS-EX-12612-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12620-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12631-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12633-in.idf,Vancouver Intl AP_BC,VANCOUVER INTL,CAN_BC_Vancouver.Intl.AP.718920_CWEC2020.zip
ERS-EX-12641-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12714-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12748-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12796-in.idf,Erieau AUT_ON,ERIEAU,CAN_ON_Erieau.AUT.714650_CWEC2020.zip
ERS-EX-12867-in.idf,Toronto City Centre_ON,TORONTO CITY CENTRE,CAN_ON_Toronto.City.Centre.712650_CWEC2020.zip
ERS-EX-12914-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-12955-in.idf,Halifax Intl AP_NS,HALIFAX INTL,CAN_NS_Halifax.Intl.AP.713950_CWEC2020.zip
ERS-EX-12977-in.idf,Trenton AP_ON,TRENTON,CAN_ON_Trenton.AP.716210_CWEC2020.zip
ERS-EX-13016-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13035-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13048-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13056-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13060-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13063-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13065-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13079-in.idf,Dauphin_MB,DAUPHIN,CAN_MB_Dauphin.710360_CWEC2020.zip
ERS-EX-13083-in.idf,Dauphin_MB,DAUPHIN,CAN_MB_Dauphin.710360_CWEC2020.zip
ERS-EX-13089-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13091-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13099-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13104-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
ERS-EX-13106-in.idf,Winnipeg Intl AP_MB,WINNIPEG INTL,CAN_MB_Winnipeg.Intl.AP.718520_CWEC2020.zip
