filename,supplHeatingFuel1,supplHeatingEquipType1,supplHeatingEff1,supplHeatingCapacity1,supplHeatingPilotLight1,supplHeatingFlueDiameter1,supplHeatingLocationHeated1,supplHeatingAreaHeated1,supplHeatingDamperClosed1,supplHeatingUsed1,supplHeatingFuel2,supplHeatingEquipType2,supplHeatingEff2,supplHeatingCapacity2,supplHeatingPilotLight2,supplHeatingFlueDiameter2,supplHeatingLocationHeated2,supplHeatingAreaHeated2,supplHeatingDamperClosed2,supplHeatingUsed2,supplHeatingFuel3,supplHeatingEquipType3,supplHeatingEff3,supplHeatingCapacity3,supplHeatingPilotLight3,supplHeatingFlueDiameter3,supplHeatingLocationHeated3,supplHeatingAreaHeated3,supplHeatingDamperClosed3,supplHeatingUsed3,supplHeatingFuel4,supplHeatingEquipType4,supplHeatingEff4,supplHeatingCapacity4,supplHeatingPilotLight4,supplHeatingFlueDiameter4,supplHeatingLocationHeated4,supplHeatingAreaHeated4,supplHeatingDamperClosed4,supplHeatingUsed4,supplHeatingFuel5,supplHeatingEquipType5,supplHeatingEff5,supplHeatingCapacity5,supplHeatingPilotLight5,supplHeatingFlueDiameter5,supplHeatingLocationHeated5,supplHeatingAreaHeated5,supplHeatingDamperClosed5,supplHeatingUsed5,radiantPresent,radiantAtticTemp,radiantAtticAreaPerc,radiantFlatRoofTemp,radiantFlatRoofAreaPerc,radiantCrawlspaceFloorTemp,radiantCrawlspaceFloorAreaPerc,radiantSlabTemp,radiantSlabAreaPerc,radiantBasementFloorTemp,radiantBasementFloorAreaPerc,radiantBasementTemp,radiantBasementAreaPerc,openingEquipType1,openingFlueDiameter1,openingDamperClosed1,openingEquipType2,openingFlueDiameter2,openingDamperClosed2,openingEquipType3,openingFlueDiameter3,openingDamperClosed3,murbHeatingEnergySource1,murbHeatingEquipType1,murbHeatingEff1,murbHeatingFlueDiameter1,murbHeatingCapacity1,murbHeatingSystemCount1,murbHeatingEnergySource2,murbHeatingEquipType2,murbHeatingEff2,murbHeatingFlueDiameter2,murbHeatingCapacity2,murbHeatingSystemCount2
ERS-EX-10000.H2K,Natural gas,Fireplace with pilot (sealed),30.0,2.0,17.6996,0.0,Main Floors,12.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10030.H2K,Natural gas,Fireplace with pilot (unsealed),30.0,2.0,17.7,100.0,Main Floors,12.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10057.H2K,None,None,0.0,0.0,0.0,0.0,None,0.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fireplace with doors,101.6,True,Not applicable,0,False,Not Applicable,0,False,,,,,,,,,,,,
ERS-EX-10080.H2K,None,None,0.0,0.0,0.0,0.0,None,0.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fireplace with doors,101.6,True,Not applicable,0,False,Not Applicable,0,False,,,,,,,,,,,,
ERS-EX-10118.H2K,Natural gas,Fireplace with pilot (sealed),30.0,2.0,17.6996,0.0,Main Floors,12.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10130.H2K,Natural gas,Fireplace with spark ignit. (unsealed),30.0,2.0,0.0,76.2,Main Floors,12.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10145.H2K,None,None,0.0,0.0,0.0,0.0,None,0.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10146.H2K,Mixed Wood,Wood fireplace,30.0,2.0,0.0,101.6,Main Floors,12.0,true,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10151.H2K,None,None,0.0,0.0,0.0,0.0,None,0.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
ERS-EX-10160.H2K,None,None,0.0,0.0,0.0,0.0,None,0.0,false,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0,false,None,0,false,None,0,false,,,,,,,,,,,,
