StnID,CWEEDS 2016 Station Name,Alias,Region Name,Design Heating DBT,Deep Ground Temperature DGT (calculate),HDD Below 18C,Latitude,Longitude,MLONG,Design Cooling dry bulb DBT,Design Cooling Wet Bulb DWT,FINDEX,City Name,Save to Record #
3010010,ABEE AGDM,ABEE AGDM,AB,-36.1,0,6131,54.28,-112.97,-7,27.3,19.7,0,ABEE ,78
3010237,ANDREW AGDM,ANDREW AGDM,AB,-34.6,0,5982,53.92,-112.28,-7,27.7,20.5,0,ANDREW ,79
3060406,ATMORE AGDM,ATMORE AGDM,AB,-36.6,0,5908,54.78,-112.82,-7,28.1,19.9,0,ATMORE,80
3050519,BANFF CS,BANFF CS,AB,-32.1,0,5614,51.19,-115.55,-7,28.0,15.4,0,BANFF,81
3030525,BARNWELL AGDM,BARNWELL AGDM,AB,-31.1,0,4549,49.80,-112.30,-7,31.4,20.1,0,BARNWELL,82
3060535,BARRHEAD CS,BARRHEAD CS,AB,-36.1,0,5597,54.09,-114.45,-7,28.7,20.1,0,BARRHEAD,83
3070600,BEAVERLODGE RCS,BEAVERLODGE RCS,AB,-34.8,0,5643,55.20,-119.40,-7,27.2,16.7,0,BEAVERLODGE,84
3030720,BLOOD TRIBE AGDM,BLOOD TRIBE AGDM,AB,-30.7,0,4692,49.57,-113.05,-7,29.9,19.7,0,BLOOD TRIBE,85
3010730,BODO AGDM,BODO AGDM,AB,-32.5,0,5449,52.12,-110.10,-7,29.8,19.9,0,BODO,86
3030768,BOW ISLAND,BOW ISLAND,AB,-30.8,0,4588,49.73,-111.45,-7,31.3,20.9,0,BOW ISLAND,87
3030772,BOW ISLAND IRRIGATION AGDM,BOW ISLAND IRRIGATION AGDM,AB,-30.4,0,4639,49.87,-111.38,-7,31.4,20.3,0,BOW ISLAND IRRIGATION,88
3050778,BOW VALLEY,BOW VALLEY,AB,-32.9,0,5159,51.08,-115.07,-7,29.1,17.3,0,BOW VALLEY,89
3010816,BRETON PLOTS,BRETON PLOTS,AB,-30.8,0,5150,53.09,-114.44,-7,28.5,20.2,0,BRETON PLOTS,90
3030830,BROCKET AGDM,BROCKET AGDM,AB,-29.1,0,4489,49.62,-113.82,-7,30.9,18.6,0,BROCKET,91
3030QLP,BROOKS,BROOKS,AB,-31.9,0,4903,50.56,-111.85,-7,31.7,20.3,0,BROOKS,92
3031092,CALGARY INTL A,CALGARY INTL A,AB,-29.8,0,4945,51.11,-114.02,-7,28.6,18.8,0,CALGARY ,93
3011240,CAMROSE,CAMROSE,AB,-34.1,0,5650,53.03,-112.81,-7,28.2,20.7,0,CAMROSE,94
3031322,CARDSTON,CARDSTON,AB,-29.4,0,4547,49.20,-113.29,-7,30.9,19.2,0,CARDSTON,95
3031480,CHAMPION AGDM,CHAMPION AGDM,AB,-30.7,0,4980,50.28,-113.35,-7,29.7,19.2,0,CHAMPION,96
3031640,CLARESHOLM,CLARESHOLM,AB,-30.7,0,4741,50.00,-113.64,-7,30.6,19.1,0,CLARESHOLM,97
3074935,CLEARDALE AGDM,CLEARDALE AGDM,AB,-38.0,0,6071,56.31,-119.74,-7,27.8,18.1,0,CLEARDALE,98
3081680,COLD LAKE A,COLD LAKE A,AB,-35.0,0,5763,54.42,-110.23,-7,28.1,19.9,0,COLD LAKE,99
3011815,CONSORT AGDM,CONSORT AGDM,AB,-33.1,0,5540,51.94,-110.71,-7,29.6,19.4,0,CONSORT,100
3031875,COP UPPER,COP UPPER,AB,-29.5,0,4888,51.08,-114.22,-7,28.2,17.8,0,COP UPPER,101
3011887,CORONATION CLIMATE,CORONATION CLIMATE,AB,-34.5,0,5797,52.07,-111.45,-7,30.0,18.7,0,CORONATION CLIMATE,102
3051R4R,CROWSNEST,CROWSNEST,AB,-32.3,0,5152,49.63,-114.48,-7,28.9,17.8,0,CROWSNEST,103
3061975,DAPP AGDM,DAPP AGDM,AB,-36.8,0,6101,54.32,-113.95,-7,27.0,20.6,0,DAPP,104
3042045,DEL BONITA AGDM,DEL BONITA AGDM,AB,-29.7,0,4970,49.05,-112.82,-7,30.2,17.3,0,DEL BONITA,105
30221LG,DRUMHELLER EAST,DRUMHELLER EAST,AB,-34.2,0,5069,51.45,-112.68,-7,31.7,19.8,0,DRUMHELLER EAST,106
3012202,EDMONTON CITY CENTRE AWOS,EDMONTON CITY CENTRE AWOS,AB,-30.2,0,5063,53.57,-113.52,-7,28.6,19.6,0,EDMONTON CITY CENTRE,107
3012216,EDMONTON INTL A,EDMONTON INTL A,AB,-34.3,0,5730,53.31,-113.58,-7,27.5,20.2,0,EDMONTON INTL,108
301A001,EDMONTON STONY PLAIN CS,EDMONTON STONY PLAIN CS,AB,-31.1,0,5224,53.55,-114.11,-7,27.6,19.3,0,EDMONTON STONY PLAIN,109
3062246,EDSON CLIMATE,EDSON CLIMATE,AB,-33.6,0,5611,53.58,-116.45,-7,27.2,18.2,0,EDSON CLIMATE,110
3012275,ELK ISLAND NAT PARK,ELK ISLAND NAT PARK,AB,-33.6,0,5498,53.68,-112.87,-7,28.2,20.1,0,ELK ISLAND NAT PARK,111
3032422,ENCHANT AGDM,ENCHANT AGDM,AB,-31.7,0,4746,50.18,-112.43,-7,30.4,20.4,0,ENCHANT,112
301B460,ESTHER 1,ESTHER 1,AB,-33.0,0,5355,51.67,-110.21,-7,31.4,21.0,0,ESTHER 1,113
3072525,FAIRVIEW AGDM,FAIRVIEW AGDM,AB,-34.8,0,5978,56.08,-118.44,-7,27.5,17.9,0,FAIRVIEW,114
3032550,FINCASTLE AGDM,FINCASTLE AGDM,AB,-30.0,0,4490,49.60,-112.03,-7,31.2,19.7,0,FINCASTLE,115
3032642,FOREMOST AGDM,FOREMOST AGDM,AB,-30.2,0,4633,49.48,-111.49,-7,32.5,19.1,0,FOREMOST,116
3062697,FORT MCMURRAY A,FORT MCMURRAY A,AB,-37.6,0,6207,56.65,-111.22,-7,28.8,19.1,0,FORT MCMURRAY,117
3072921,GRANDE PRAIRIE A,GRANDE PRAIRIE A,AB,-37.3,0,5778,55.18,-118.88,-7,27.4,18.2,0,GRANDE PRAIRIE,118
3063135,HENDRICKSON CREEK,HENDRICKSON CREEK,AB,-37.3,0,6630,53.80,-118.45,-7,25.2,14.7,0,HENDRICKSON CREEK,119
3073146,HIGH LEVEL A,HIGH LEVEL A,AB,-41.9,0,6751,58.62,-117.16,-7,27.3,18.5,0,HIGH LEVEL,120
3063165,HIGH PRAIRIE AGDM,HIGH PRAIRIE AGDM,AB,-37.0,0,5743,55.40,-116.48,-7,27.3,19.0,0,HIGH PRAIRIE,121
3013340,HOLDEN AGDM,HOLDEN AGDM,AB,-34.3,0,5724,53.19,-112.25,-7,28.7,19.7,0,HOLDEN,122
3023402,HUSSAR AGDM,HUSSAR AGDM,AB,-31.1,0,5250,51.18,-112.50,-7,28.2,19.3,0,HUSSAR,123
3033498,IRON SPRINGS AGDM,IRON SPRINGS AGDM,AB,-29.6,0,4621,49.90,-112.73,-7,29.7,20.2,0,IRON SPRINGS,124
3053536,JASPER WARDEN,JASPER WARDEN,AB,-33.2,0,5399,52.93,-118.03,-7,29.7,15.7,0,JASPER WARDEN,125
3013640,KILLAM AGDM,KILLAM AGDM,AB,-34.2,0,5741,52.85,-111.87,-7,28.8,19.9,0,KILLAM AGDM,126
3063686,LAC LA BICHE CLIMATE,LAC LA BICHE CLIMATE,AB,-35.0,0,5785,54.77,-112.02,-7,27.5,19.4,0,LAC LA BICHE CLIMATE,127
3023722,LACOMBE CDA 2,LACOMBE CDA 2,AB,-32.9,0,5552,52.45,-113.76,-7,28.1,20.3,0,LACOMBE,128
3033890,LETHBRIDGE CDA,LETHBRIDGE CDA,AB,-29.4,0,4318,49.70,-112.77,-7,31.5,19.9,0,LETHBRIDGE,129
3033897,LETHBRIDGE DEMO FARM AGDM,LETHBRIDGE DEMO FARM AGDM,AB,-30.1,0,4522,49.68,-112.75,-7,29.4,20.1,0,LETHBRIDGE DEMO FARM,130
3013959,LLOYDMINSTER A,LLOYDMINSTER A,AB,-33.6,0,5834,53.31,-110.07,-7,27.6,19.8,0,LLOYDMINSTER,131
3074190,MANNING AGDM,MANNING AGDM,AB,-40.8,0,6365,56.97,-117.45,-7,27.8,19.5,0,MANNING,132
3044232,MASINASIN AGDM,MASINASIN AGDM,AB,-29.0,0,4433,49.14,-111.65,-7,33.1,18.9,0,MASINASIN,133
3034485,MEDICINE HAT RCS,MEDICINE HAT RCS,AB,-31.9,0,4558,50.03,-110.72,-7,32.9,19.5,0,MEDICINE HAT,134
3064528,MILDRED LAKE,MILDRED LAKE,AB,-35.5,0,5924,57.04,-111.56,-7,29.1,18.9,0,MILDRED LAKE,135
3044533,MILK RIVER,MILK RIVER,AB,-30.8,0,4784,49.13,-112.05,-7,31.8,18.3,0,MILK RIVER,136
3024668,MORRIN AGDM,MORRIN AGDM,AB,-32.7,0,5465,51.66,-112.67,-7,29.6,19.8,0,MORRIN,137
3014665,MUNDARE AGDM,MUNDARE AGDM,AB,-33.0,0,5641,53.57,-112.30,-7,28.1,19.8,0,MUNDARE,138
305MGFF,NAKISKA RIDGETOP,NAKISKA RIDGETOP,AB,-27.8,0,7157,50.94,-115.19,-7,18.8,11.1,0,NAKISKA RIDGETOP,139
3054843,NORDEGG CS,NORDEGG CS,AB,-32.1,0,5720,52.49,-116.04,-7,26.9,16.4,0,NORDEGG,140
3024925,OLDS AGDM,OLDS AGDM,AB,-30.3,0,5331,51.76,-114.08,-7,27.4,19.3,0,OLDS,141
3014921,OLIVER AGDM,OLIVER AGDM,AB,-35.4,0,5475,53.65,-113.35,-7,28.8,20.2,0,OLIVER,142
3044923,ONEFOUR CDA,ONEFOUR CDA,AB,-30.1,0,4740,49.12,-110.47,-7,33.6,19.1,0,ONEFOUR,143
3024965,OYEN AGDM,OYEN AGDM,AB,-32.5,0,5314,51.38,-110.35,-7,30.7,19.9,0,OYEN,144
3075041,PEACE RIVER A,PEACE RIVER A,AB,-36.4,0,5960,56.23,-117.45,-7,27.3,18.5,0,PEACE RIVER,145
3075160,PEORIA AGDM,PEORIA AGDM,AB,-37.1,0,5910,55.62,-118.29,-7,27.6,18.5,0,PEORIA,146
3035198,PINCHER CREEK,PINCHER CREEK,AB,-30.8,0,4764,49.52,-114.00,-7,29.5,18.0,0,PINCHER CREEK,147
3025243,POLLOCKVILLE AGDM,POLLOCKVILLE AGDM,AB,-33.7,0,5434,51.13,-111.71,-7,31.7,19.5,0,POLLOCKVILLE,148
3025297,PRENTISS,PRENTISS,AB,-31.3,0,5303,52.43,-113.60,-7,26.9,19.6,0,PRENTISS,149
3035422,RAYMOND AGDM,RAYMOND AGDM,AB,-30.0,0,4535,49.48,-112.68,-7,30.4,19.3,0,RAYMOND,150
3025481,RED DEER REGIONAL A,RED DEER REGIONAL A,AB,-33.0,0,5555,52.18,-113.89,-7,28.0,19.4,0,RED DEER REGIONAL,151
3075488,RED EARTH,RED EARTH,AB,-37.8,0,6066,56.55,-115.28,-7,27.8,18.7,0,RED EARTH,152
3065475,RICH LAKE AGDM,RICH LAKE AGDM,AB,-36.2,0,6003,54.50,-111.70,-7,27.7,19.8,0,RICH LAKE,153
3015523,ROCKY MTN HOUSE (AUT),ROCKY MTN HOUSE (AUT),AB,-33.8,0,5883,52.42,-114.91,-7,26.8,18.2,0,ROCKY MTN HOUSE,154
3025768,SCHULER AGDM,SCHULER AGDM,AB,-31.6,0,4942,50.31,-110.09,-7,32.0,19.5,0,SCHULER,155
3035845,SEVEN PERSONS AGDM,SEVEN PERSONS AGDM,AB,-30.4,0,4746,49.92,-110.92,-7,32.1,19.8,0,SEVEN PERSONS,156
3065995,SLAVE LAKE,SLAVE LAKE,AB,-34.1,0,5819,55.29,-114.78,-7,26.1,19.1,0,SLAVE LAKE,157
3016022,SMOKY LAKE AGDM,SMOKY LAKE AGDM,AB,-36.3,0,5940,54.28,-112.50,-7,28.2,19.3,0,SMOKY LAKE,158
3076069,SPIRIT RIVER AUTO STATION,SPIRIT RIVER AUTO STATION,AB,-32.0,0,5710,55.69,-119.23,-7,25.0,17.0,0,SPIRIT RIVER AUTO STATION,159
3015676,ST PAUL AGCM,ST PAUL AGCM,AB,-36.3,0,6090,54.01,-111.27,-7,27.9,19.8,0,ST PAUL AGCM,160
3036099,STAVELY AAFC,STAVELY AAFC,AB,-29.6,0,4791,50.18,-113.28,-7,27.0,17.7,0,STAVELY AAFC,161
3016124,STETTLER AGDM,STETTLER AGDM,AB,-32.0,0,5405,52.35,-112.60,-7,29.1,19.5,0,STETTLER ,162
3036205,STRATHMORE AGDM,STRATHMORE AGDM,AB,-29.7,0,5097,51.03,-113.28,-7,27.9,19.1,0,STRATHMORE,163
3026KNQ,SUNDRE A,SUNDRE A,AB,-34.5,0,5661,51.78,-114.68,-7,28.1,17.9,0,SUNDRE,164
3026479,THREE HILLS,THREE HILLS,AB,-31.0,0,5272,51.77,-113.21,-7,28.9,20.1,0,THREE HILLS,165
3016655,TWO HILLS AGDM,TWO HILLS AGDM,AB,-34.3,0,5708,53.63,-111.68,-7,27.8,19.8,0,TWO HILLS,166
3076680,VALLEYVIEW AGDM,VALLEYVIEW AGDM,AB,-35.3,0,5513,55.10,-117.20,-7,27.8,18.3,0,VALLEYVIEW,167
3036682,VAUXHALL CDA CS,VAUXHALL CDA CS,AB,-31.9,0,4643,50.05,-112.13,-7,31.5,21.0,0,VAUXHALL ,168
3016GF0,VEGREVILLE,VEGREVILLE,AB,-35.4,0,5805,53.51,-112.10,-7,28.4,19.8,0,VEGREVILLE,169
3016802,VERMILION AGDM,VERMILION AGDM,AB,-34.1,0,5810,53.34,-110.88,-7,28.6,20.3,0,VERMILION,170
3016860,VIOLET GROVE CS,VIOLET GROVE CS,AB,-30.9,0,5207,53.14,-115.13,-7,27.6,18.9,0,VIOLET GROVE,171
301S001,WAINWRIGHT CFB AIRFIELD 21,WAINWRIGHT CFB AIRFIELD 21,AB,-34.5,0,5526,52.83,-111.10,-7,29.7,19.5,0,WAINWRIGHT CFB AIRFIELD 21,172
3056214,WATERTON PARK GATE,WATERTON PARK GATE,AB,-31.6,0,4699,49.13,-113.81,-7,29.5,17.7,0,WATERTON PARK GATE,173
3067371,WHITECOURT,WHITECOURT,AB,-32.1,0,5479,54.14,-115.78,-7,27.6,19.2,0,WHITECOURT,174
306GE70,WILLOW CREEK 1,WILLOW CREEK 1,AB,-35.4,0,6589,53.39,-118.35,-7,26.2,14.0,0,WILLOW CREEK 1,175
3037675,WRENTHAM AGDM,WRENTHAM AGDM,AB,-29.2,0,4578,49.50,-112.12,-7,31.1,19.4,0,WRENTHAM,176
1100031,ABBOTSFORD A,ABBOTSFORD A,BC,-8.2,0,2786,49.03,-122.36,-8,28.9,20.5,0,ABBOTSFORD,1
1100119,AGASSIZ RCS,AGASSIZ RCS,BC,-10.1,0,2803,49.24,-121.76,-8,29.5,21.8,0,AGASSIZ,2
1020590,BALLENAS ISLAND,BALLENAS ISLAND,BC,-1.3,0,2520,49.35,-124.16,-8,23.7,20.1,0,BALLENAS ISLAND,3
1160H99,BLUE RIVER CS,BLUE RIVER CS,BC,-32.2,0,4893,52.13,-119.29,-8,31.3,18.0,0,BLUE RIVER,4
1060R0K,BONILLA ISLAND (AUT),BONILLA ISLAND (AUT),BC,-5.2,0,3504,53.49,-130.64,-8,15.2,14.4,0,BONILLA ISLAND,5
1091174,BURNS LAKE DECKER LAKE,BURNS LAKE DECKER LAKE,BC,-33.1,0,5734,54.38,-125.96,-8,27.6,17.5,0,BURNS LAKE DECKER LAKE,6
1101300,CALLAGHAN VALLEY,CALLAGHAN VALLEY,BC,-18.6,0,4606,50.14,-123.11,-8,27.9,16.7,0,CALLAGHAN VALLEY,7
1051351,CAPE ST JAMES,CAPE ST JAMES,BC,-2.0,0,3320,51.94,-131.02,-8,17.8,15.7,0,CAPE ST JAMES,8
1061458,CATHEDRAL POINT (AUT),CATHEDRAL POINT (AUT),BC,-11.1,0,3462,52.19,-127.47,-8,23.0,18.0,0,CATHEDRAL POINT,9
1161661,CLINTON (AUT),CLINTON (AUT),BC,-28.5,0,5013,51.12,-121.50,-8,29.4,16.0,0,CLINTON,10
1021830,COMOX A,COMOX A,BC,-5.0,0,2972,49.72,-124.90,-8,26.5,18.8,0,COMOX ,11
1152105,CRANBROOK A,CRANBROOK A,BC,-25.2,0,4415,49.61,-115.78,-8,32.1,18.0,0,CRANBROOK,12
114B1F0,CRESTON CAMPBELL SCIENTIFIC,CRESTON CAMPBELL SCIENTIFIC,BC,-15.7,0,3612,49.08,-116.50,-8,32.9,21.6,0,CRESTON CAMPBELL SCIENTIFIC,13
1062251,CUMSHEWA ISLAND,CUMSHEWA ISLAND,BC,-3.0,0,3395,53.03,-131.60,-8,17.3,15.5,0,CUMSHEWA ISLAND,14
1182289,DAWSON CREEK A,DAWSON CREEK A,BC,-36.9,0,5732,55.74,-120.18,-7,27.2,17.8,0,DAWSON CREEK,15
1012475,DISCOVERY ISLAND,DISCOVERY ISLAND,BC,-1.7,0,2657,48.42,-123.23,-8,21.8,19.8,0,DISCOVERY ISLAND,16
1022689,ENTRANCE ISLAND,ENTRANCE ISLAND,BC,-2.0,0,2595,49.21,-123.81,-8,23.6,19.9,0,ENTRANCE ISLAND,17
1012710,ESQUIMALT HARBOUR,ESQUIMALT HARBOUR,BC,-2.9,0,2952,48.43,-123.44,-8,21.5,16.6,0,ESQUIMALT HARBOUR,18
1032731,ESTEVAN POINT CS,ESTEVAN POINT CS,BC,-2.4,0,3081,49.38,-126.54,-8,18.6,17.0,0,ESTEVAN POINT,19
1022795,FANNY ISLAND,FANNY ISLAND,BC,-4.6,0,3374,50.45,-125.99,-8,18.0,14.9,0,FANNY ISLAND,20
1192946,FORT NELSON A,FORT NELSON A,BC,-39.3,0,6663,58.84,-122.60,-8,27.8,18.4,0,FORT NELSON,21
1183001,FORT ST JOHN A,FORT ST JOHN A,BC,-33.6,0,5734,56.24,-120.74,-8,26.3,17.4,0,FORT ST JOHN,22
1063303,GREY ISLET (AUT),GREY ISLET (AUT),BC,-8.5,0,3604,54.58,-130.70,-8,18.0,15.6,0,GREY ISLET ,23
1063461,HERBERT ISLAND (AUT),HERBERT ISLAND (AUT),BC,-1.1,0,3361,50.94,-127.63,-8,15.9,14.7,0,HERBERT ISLAND,24
1063496,HOLLAND ROCK,HOLLAND ROCK,BC,-7.9,0,3630,54.17,-130.36,-8,15.5,14.8,0,HOLLAND ROCK,25
1113542,HOPE A,HOPE A,BC,-11.9,0,2967,49.37,-121.50,-8,29.6,21.0,0,HOPE,26
10459NN,HOWE SOUND - PAM ROCKS,HOWE SOUND - PAM ROCKS,BC,-4.0,0,2665,49.49,-123.30,-8,24.0,19.4,0,HOWE SOUND - PAM ROCKS,27
1163781,KAMLOOPS A,KAMLOOPS A,BC,-20.7,0,3382,50.70,-120.45,-8,34.7,19.3,0,KAMLOOPS,28
1123939,KELOWNA,KELOWNA,BC,-18.9,0,3747,49.96,-119.38,-8,33.7,19.5,0,KELOWNA,29
1054222,KINDAKUN ROCKS (AUT),KINDAKUN ROCKS (AUT),BC,-2.5,0,3422,53.32,-132.77,-8,15.2,14.1,0,KINDAKUN ROCKS,30
1054503,LANGARA ISLAND RCS,LANGARA ISLAND RCS,BC,-5.3,0,3663,54.26,-133.06,-8,16.1,14.7,0,LANGARA ISLAND,31
1114619,LILLOOET,LILLOOET,BC,-20.1,0,3264,50.68,-121.93,-8,35.5,25.9,0,LILLOOET,32
1064728,LUCY ISLAND LIGHTSTATION,LUCY ISLAND LIGHTSTATION,BC,-6.3,0,3668,54.30,-130.61,-8,16.4,15.6,0,LUCY ISLAND LIGHTSTATION,33
1114746,LYTTON RCS,LYTTON RCS,BC,-18.4,0,3169,50.22,-121.58,-8,35.1,19.5,0,LYTTON,34
1184791,MACKENZIE,MACKENZIE,BC,-34.9,0,5430,55.30,-123.13,-8,27.8,17.0,0,MACKENZIE,35
1014820,MALAHAT,MALAHAT,BC,-6.1,0,3173,48.57,-123.53,-8,27.4,21.6,0,MALAHAT,36
1145297,NAKUSP CS,NAKUSP CS,BC,-15.0,0,3740,50.27,-117.82,-8,31.5,20.5,0,NAKUSP,37
1145M29,NELSON CS,NELSON CS,BC,-13.9,0,3518,49.49,-117.31,-8,32.5,20.7,0,NELSON,38
1125852,OSOYOOS CS,OSOYOOS CS,BC,-14.1,0,3094,49.03,-119.44,-8,35.5,21.1,0,OSOYOOS,39
1086082,PEMBERTON AIRPORT CS,PEMBERTON AIRPORT CS,BC,-16.2,0,3662,50.31,-122.73,-8,33.6,20.8,0,PEMBERTON AIRPORT,40
1126146,PENTICTON A,PENTICTON A,BC,-14.4,0,3283,49.46,-119.60,-8,33.5,20.1,0,PENTICTON A,41
1106178,PITT MEADOWS CS,PITT MEADOWS CS,BC,-8.6,0,2894,49.21,-122.69,-8,29.3,21.0,0,PITT MEADOWS,42
1106200,POINT ATKINSON,POINT ATKINSON,BC,-2.5,0,2341,49.33,-123.26,-8,24.8,22.0,0,POINT ATKINSON,43
1026271,PORT HARDY A,PORT HARDY A,BC,-4.2,0,3468,50.68,-127.37,-8,19.6,16.0,0,PORT HARDY,44
1096439,PRINCE GEORGE,PRINCE GEORGE,BC,-31.5,0,4991,53.89,-122.67,-8,28.0,17.5,0,PRINCE GEORGE,45
1066482,PRINCE RUPERT,PRINCE RUPERT,BC,-11.0,0,3726,54.29,-130.44,-8,18.0,15.4,0,PRINCE RUPERT,46
112FN0M,PRINCETON CS,PRINCETON CS,BC,-25.1,0,4347,49.47,-120.51,-8,33.0,19.7,0,PRINCETON,47
1086558,PUNTZI MOUNTAIN (AUT),PUNTZI MOUNTAIN (AUT),BC,-37.3,0,5609,52.11,-124.14,-8,29.6,16.5,0,PUNTZI MOUNTAIN,48
1096629,QUESNEL,QUESNEL,BC,-30.8,0,4631,53.03,-122.51,-8,29.7,18.3,0,QUESNEL,49
1176749,REVELSTOKE A,REVELSTOKE A,BC,-19.4,0,3985,50.96,-118.18,-8,31.0,20.0,0,REVELSTOKE,50
1056869,ROSE SPIT (AUT),ROSE SPIT (AUT),BC,-5.9,0,3628,54.16,-131.66,-8,16.1,15.0,0,ROSE SPIT,51
116FRMN,SALMON ARM CS,SALMON ARM CS,BC,-19.7,0,3606,50.70,-119.29,-8,32.3,22.2,0,SALMON ARM,52
1107010,SANDHEADS CS,SANDHEADS CS,BC,-4.4,0,2720,49.11,-123.30,-8,22.3,19.8,0,SANDHEADS,53
1057052,SANDSPIT,SANDSPIT,BC,-4.0,0,3445,53.25,-131.81,-8,19.0,15.9,0,SANDSPIT,54
1037090,SARTINE ISLAND (AUT),SARTINE ISLAND (AUT),BC,-1.2,0,3440,50.82,-128.91,-8,14.8,14.1,0,SARTINE ISLAND,55
1017101,SATURNA ISLAND CS,SATURNA ISLAND CS,BC,-3.1,0,2565,48.78,-123.04,-8,25.7,20.2,0,SATURNA ISLAND,56
1017254,SHERINGHAM POINT,SHERINGHAM POINT,BC,-1.9,0,2956,48.38,-123.92,-8,19.9,17.4,0,SHERINGHAM POINT,57
1027403,SISTERS ISLAND,SISTERS ISLAND,BC,-2.0,0,2602,49.49,-124.43,-8,23.7,19.4,0,SISTERS ISLAND,58
1077499,SMITHERS,SMITHERS,BC,-27.8,0,5010,54.83,-127.18,-8,27.2,17.5,0,SMITHERS,59
